"""id""";"""adress""";"""telephone""";"""area""";"""rooms""";"""cost"""
"""1""";"""Decebal 6""";"""079864400""";"""86""";"""3""";"""400"""
"""2""";"""Banulescu Bodoni 5""";"""060489563""";"""35""";"""2""";"""180"""
"""3""";"""Titulescu 28""";"""079854632""";"""150""";"""4""";"""520"""
"""4""";"""Hristo Botev 18/2""";"""078564892""";"""47""";"""1""";"""250"""
"""5""";"""Berlin 32""";"""022475963""";"""250""";"""4""";"""600"""
"""6""";"""Paris 19""";"""079658463""";"""96""";"""2""";"""255"""
"""7""";"""Pacii 36/5""";"""068459873""";"""82""";"""1""";"""160"""
"""8""";"""Miron Costin 8/1""";"""076598423""";"""55""";"""1""";"""100"""
"""9""";"""Hristo Botev 6/3""";"""075479804""";"""67""";"""2""";"""200"""
"""10""";"""Pacii 8/4""";"""060456567""";"""23""";"""1""";"""120"""
"""11""";"""Stefan cel Mare 136""";"""022758694""";"""100""";"""4""";"""520"""
"""12""";"""Dacia 25""";"""022369578""";"""25""";"""1""";"""100"""
"""13""";"""31 August 28""";"""078543687""";"""78""";"""2""";"""325"""
"""14""";"""Sciusev 5""";"""069233445""";"""26""";"""1""";"""150"""
"""15""";"""Armeneasca 52""";"""078567843""";"""72""";"""3""";"""340"""
"""16""";"""Bernardazzi 98""";"""079345913""";"""142""";"""4""";"""400"""
"""17""";"""Halippa 2""";"""067890466""";"""63""";"""2""";"""300"""
"""18""";"""Kogalniceanu 43""";"""067314569""";"""75""";"""1""";"""250"""
"""19""";"""Ismail 53""";"""079008864""";"""59""";"""1""";"""200"""
"""20""";"""Cahul 7""";"""078234445""";"""203""";"""5""";"""600"""
"""21""";"""Vieru 32""";"""022567334""";"""46""";"""1""";"""165"""
"""22""";"""Pruncul 28""";"""079330467""";"""29""";"""1""";"""89"""
"""23""";"""Doncev 12""";"""022343336""";"""56""";"""2""";"""100"""
"""24""";"""Albisoara 89""";"""078564563""";"""89""";"""3""";"""450"""
